emoji,sentiment_score,count,pos_ratio,neg_ratio,neu_ratio,percent_very_pos,percent_pos,percent_somewhat_pos,percent_neutral,percent_very_neg,percent_neg,percent_somewhat_neg,confidence_interval
💦,0.13333333333333333,45,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.022222222222222223,0.022222222222222223,0.15555555555555556,0.22227174667004262
😎,0.37777777777777777,45,0.6623376623376623,0.0,0.33766233766233766,0.08888888888888889,0.24444444444444444,0.37777777777777777,0.28888888888888886,0.0,0.0,0.0,0.21011990591019258
😪,-0.23255813953488372,43,0.08823529411764706,0.5294117647058824,0.38235294117647056,0.0,0.046511627906976744,0.046511627906976744,0.3023255813953488,0.023255813953488372,0.18604651162790697,0.3953488372093023,0.21844802201341482
😤,-0.2857142857142857,42,0.225,0.675,0.1,0.0,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.16666666666666666,0.2857142857142857,0.21428571428571427,0.24483831288831123
😳,0.14285714285714285,42,0.44285714285714284,0.18571428571428572,0.37142857142857144,0.0,0.23809523809523808,0.2619047619047619,0.30952380952380953,0.023809523809523808,0.07142857142857142,0.09523809523809523,0.2352603355312041
🤭,0.2698412698412698,42,0.5897435897435898,0.15384615384615385,0.2564102564102564,0.11904761904761904,0.2619047619047619,0.21428571428571427,0.23809523809523808,0.023809523809523808,0.07142857142857142,0.07142857142857142,0.24705967373252932
🇵🇭,0.4227642276422764,41,0.7647058823529411,0.0,0.23529411764705882,0.07317073170731707,0.3170731707317073,0.4146341463414634,0.1951219512195122,0.0,0.0,0.0,0.21453167744910331
🙌,0.40650406504065034,41,0.7361111111111112,0.041666666666666664,0.2222222222222222,0.0975609756097561,0.36585365853658536,0.2682926829268293,0.1951219512195122,0.0,0.0,0.07317073170731707,0.23180286705172873
💓,0.6166666666666666,40,0.9146341463414634,0.012195121951219513,0.07317073170731707,0.325,0.325,0.25,0.075,0.0,0.0,0.025,0.22734586494522463
🫰,0.46153846153846156,39,0.6923076923076923,0.0,0.3076923076923077,0.20512820512820512,0.28205128205128205,0.20512820512820512,0.3076923076923077,0.0,0.0,0.0,0.23624343754838384
📸,0.3675213675213675,39,0.5584415584415584,0.0,0.44155844155844154,0.1282051282051282,0.28205128205128205,0.15384615384615385,0.4358974358974359,0.0,0.0,0.0,0.22294913835123145
🥳,0.6153846153846154,39,0.8928571428571429,0.03571428571428571,0.07142857142857142,0.28205128205128205,0.46153846153846156,0.15384615384615385,0.07692307692307693,0.02564102564102564,0.0,0.0,0.22011037611246517
✌️,0.3796296296296296,36,0.7076923076923077,0.07692307692307693,0.2153846153846154,0.1388888888888889,0.2777777777777778,0.3055555555555556,0.19444444444444445,0.0,0.05555555555555555,0.027777777777777776,0.2560295121877771
🤤,0.4761904761904762,35,0.7878787878787878,0.030303030303030304,0.18181818181818182,0.2,0.3142857142857143,0.2571428571428571,0.17142857142857143,0.0,0.0,0.05714285714285714,0.2573523105874627
😀,0.047619047619047616,35,0.38095238095238093,0.30158730158730157,0.31746031746031744,0.02857142857142857,0.22857142857142856,0.14285714285714285,0.2857142857142857,0.05714285714285714,0.11428571428571428,0.14285714285714285,0.27289817105416053
😚,0.5619047619047618,35,0.9365079365079365,0.0,0.06349206349206349,0.11428571428571428,0.5142857142857142,0.3142857142857143,0.05714285714285714,0.0,0.0,0.0,0.2151180250603895
🥹,0.2828282828282828,33,0.6,0.13333333333333333,0.26666666666666666,0.12121212121212122,0.30303030303030304,0.12121212121212122,0.24242424242424243,0.0,0.030303030303030304,0.18181818181818182,0.2736460800803369
🤷‍,-0.1919191919191919,33,0.12727272727272726,0.4727272727272727,0.4,0.0,0.030303030303030304,0.15151515151515152,0.3333333333333333,0.030303030303030304,0.24242424242424243,0.21212121212121213,0.26501340755860864
🌻,0.3939393939393939,33,0.639344262295082,0.0,0.36065573770491804,0.12121212121212122,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.0,0.0,0.0,0.2523051088177841
😥,-0.3434343434343434,33,0.08333333333333333,0.65,0.26666666666666666,0.0,0.06060606060606061,0.030303030303030304,0.24242424242424243,0.030303030303030304,0.45454545454545453,0.18181818181818182,0.24660029159554858
🎂,0.7474747474747475,33,0.9487179487179487,0.0,0.05128205128205128,0.5151515151515151,0.2727272727272727,0.15151515151515152,0.06060606060606061,0.0,0.0,0.0,0.22665228442461022
🤦,-0.1313131313131313,33,0.2830188679245283,0.5283018867924528,0.18867924528301888,0.0,0.21212121212121213,0.030303030303030304,0.15151515151515152,0.0,0.24242424242424243,0.36363636363636365,0.2582720777573415
😡,-0.6666666666666666,32,0.02857142857142857,0.9428571428571428,0.02857142857142857,0.0,0.03125,0.0,0.03125,0.40625,0.3125,0.21875,0.2446756295270859
🌞,0.5444444444444444,30,0.8596491228070176,0.0,0.14035087719298245,0.13333333333333333,0.5,0.23333333333333334,0.13333333333333333,0.0,0.0,0.0,0.24750664064778335
👊,0.1888888888888889,30,0.5818181818181818,0.2727272727272727,0.14545454545454545,0.13333333333333333,0.2,0.26666666666666666,0.13333333333333333,0.0,0.23333333333333334,0.03333333333333333,0.29117029026161734
🌸,0.4111111111111111,30,0.7358490566037735,0.03773584905660377,0.22641509433962265,0.16666666666666666,0.23333333333333334,0.3333333333333333,0.2,0.0,0.0,0.06666666666666667,0.2788799052147125
👀,0.27777777777777773,30,0.49019607843137253,0.0,0.5098039215686274,0.03333333333333333,0.2,0.3333333333333333,0.43333333333333335,0.0,0.0,0.0,0.24318724003630435
🌊,0.3563218390804597,29,0.5849056603773585,0.0,0.41509433962264153,0.13793103448275862,0.1724137931034483,0.3103448275862069,0.3793103448275862,0.0,0.0,0.0,0.26564281972507986
🙁,-0.2528735632183908,29,0.14583333333333334,0.6041666666666666,0.25,0.0,0.10344827586206896,0.034482758620689655,0.20689655172413793,0.034482758620689655,0.27586206896551724,0.3448275862068966,0.2797128381087681
🤧,0.1954022988505747,29,0.5957446808510638,0.23404255319148937,0.1702127659574468,0.06896551724137931,0.2413793103448276,0.27586206896551724,0.13793103448275862,0.0,0.10344827586206896,0.1724137931034483,0.29796213560307777
💋,0.4074074074074074,27,0.6792452830188679,0.05660377358490566,0.2641509433962264,0.14814814814814814,0.3333333333333333,0.2222222222222222,0.25925925925925924,0.037037037037037035,0.0,0.0,0.28936038341331777
